costcenter,description,accountnumber,accountdescription,date,explanation,amount,debit,credit,explanation2
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,12/20/2012,Correct P.O. Posting Error,30000,30000,, 
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56401.00,Materials,2/9/2012,Mcmillan,1077,1077,,Barrel Threading
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56401.00,Materials,2/9/2012,Mcmillan,45,45,,Barrel Threading
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,2/16/2012,B Three Solutions Inc.,20000,20000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,2/16/2012,B Three Solutions Inc.,60000,60000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,2/16/2012,B Three Solutions Inc.,15000,15000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,2/16/2012,B Three Solutions Inc.,7000,7000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,2/16/2012,B Three Solutions Inc.,7000,7000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,2/16/2012,B Three Solutions Inc.,7000,7000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,2/16/2012,B Three Solutions Inc.,7000,7000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,2/16/2012,Pittsburgh Police Headquarters,30000,30000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,2/16/2012,Pittsburgh Police Headquarters,-30000,,-30000,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,2/16/2012,Pittsburgh Police Headquarters,-30000,,-30000,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,2/17/2012,B Three Solutions Inc.,30000,30000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,3/2/2012,B Three Solutions Inc.,10000,10000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,3/13/2012,Modular Space Corporation,4653,4653,,Operational Equipment-Police
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,3/13/2012,National Patent Analytical Sys,5775,5775,,Operational Equipment-Police
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,3/19/2012,B Three Solutions Inc.,21000,21000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,3/28/2012,"Skidcar System, Inc.",59912.1,59912.1,,Skidcar System
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,4/11/2012,Optics Planet,5198,5198,,Night Vision Binoculars
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,4/20/2012,B Three Solutions Inc.,21000,21000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,4/20/2012,B Three Solutions Inc.,7000,7000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,6/5/2012,B Three Solutions Inc.,21000,21000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,6/5/2012,B Three Solutions Inc.,17500,17500,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,6/5/2012,B Three Solutions Inc.,17500,17500,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,8/6/2012,Faac Inc,63000,63000,,Driving Simulator
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,8/10/2012,B Three Solutions Inc.,17500,17500,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,8/13/2012,B Three Solutions Inc.,20000,20000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.57571.00,Furniture and fixtures,8/21/2012,Grainger,989.58,989.58,,Shelving
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.54505.00,Office Equipment,9/4/2012,Cis Office Installers & Referb,3275,3275,,Workstations
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,9/28/2012,Witmer Associates Inc,1636,1636,,"Supplies-Ammo, Guns,Ta"
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,10/2/2012,B Three Solutions Inc.,50000,50000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,10/2/2012,E Plus,50000,50000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,10/2/2012,E Plus,-50000,,-50000,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,10/3/2012,B Three Solutions Inc.,50000,50000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,10/25/2012,General Sales Administration,29980,29980,,License Plate Reader
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,11/27/2012,"Collision Forensic Solutions,",34881.48,34881.48,,Robotic Imaging Station
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,12/10/2012,B Three Solutions Inc.,20000,20000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,1/17/2013,Faac Inc,63000,63000,,Driving Simulator
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.57501.00,Machinery and equipment ,1/29/2013,Faac Inc,1350,1350,,Laptop For Driving Simulator
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,1/30/2013,B Three Solutions Inc.,10500,10500,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,1/30/2013,B Three Solutions Inc.,10500,10500,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,3/25/2013,B Three Solutions Inc.,17500,17500,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,3/25/2013,B Three Solutions Inc.,10500,10500,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,3/25/2013,B Three Solutions Inc.,25000,25000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,5/15/2013,B Three Solutions Inc.,10000,10000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,5/15/2013,B Three Solutions Inc.,10500,10500,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,5/15/2013,B Three Solutions Inc.,10500,10500,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,5/15/2013,B Three Solutions Inc.,7500,7500,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,5/17/2013,B Three Solutions Inc.,5000,5000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,5/17/2013,B Three Solutions Inc.,25000,25000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,5/17/2013,B Three Solutions Inc.,21000,21000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,5/17/2013,B Three Solutions Inc.,21000,21000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.53509.00,Computer Maintance,5/17/2013,B Three Solutions Inc.,15000,15000,,Software Design
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,4/16/2015,Taser International,928.8,928.8,,Inv# Si1390540
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,4/16/2015,B & H Photo,1052.3,1052.3,,Inv# 93789958
2329500003,Stimulus Byrne Justice Assistance Grant,  2329500003.56151.00,Operational Supplies,4/28/2015,Patroller Supply,772.65,772.65,,Inv# 18738
